,From_HIP,To_HIP,Cst
0,14135,13954,Cet
1,13954,12828,Cet
2,12828,11484,Cet
3,11484,12093,Cet
4,12093,12706,Cet
5,12706,14135,Cet
6,12706,12387,Cet
7,12387,10826,Cet
8,10826,8645,Cet
9,8645,8102,Cet
10,8102,3419,Cet
11,3419,1562,Cet
12,1562,5364,Cet
13,5364,6537,Cet
14,6537,8645,Cet
15,25428,20889,Tau
16,20889,20455,Tau
17,20455,20205,Tau
18,20205,20885,Tau
19,20885,21421,Tau
20,21421,26451,Tau
21,20205,18724,Tau
22,18724,16083,Tau
23,16083,18907,Tau
24,9884,8903,Ari
25,8903,8832,Ari
26,5586,6193,Psc
27,6193,5742,Psc
28,5742,5586,Psc
29,5742,7097,Psc
30,7097,8198,Psc
31,8198,,Psc
32,,7884,Psc
33,7884,7007,Psc
34,7007,4906,Psc
35,4906,3786,Psc
36,3786,118268,Psc
37,118268,116771,Psc
38,116771,116928,Psc
39,116928,115738,Psc
40,115738,114971,Psc
41,114971,115830,Psc
42,115830,116771,Psc
43,10670,10064,Tri
44,10064,8796,Tri
45,8796,10670,Tri
46,19167,19812,Per
47,19812,17358,Per
48,17358,18532,Per
49,18532,14576,Per
50,14576,14668,Per
51,14668,14632,Per
52,14632,15863,Per
53,15863,17358,Per
54,18532,18614,Per
55,18614,18246,Per
56,18246,17448,Per
57,14576,14354,Per
58,14632,12777,Per
59,12777,8068,Per
60,15863,14328,Per
61,14328,13268,Per
62,13268,,Per
63,,14328,Per
64,,14632,Per
65,28380,28360,Aur
66,28360,28358,Aur
67,28358,24608,Aur
68,24608,23416,Aur
69,23416,23453,Aur
70,23453,23767,Aur
71,24608,23767,Aur
72,23767,23015,Aur
73,23522,22783,Cam
74,22783,17959,Cam
75,9640,5447,And
76,5447,4436,And
77,4436,3881,And
78,3881,5434,And
79,5447,3092,And
80,3092,2912,And
81,2912,5447,And
82,2912,116631,And
83,116631,116805,And
84,116805,116584,And
85,116631,113726,And
86,3092,677,And
87,3092,3031,And
88,3031,3693,And
89,3693,4463,And
90,8886,6686,Cas
91,6686,4427,Cas
92,4427,3179,Cas
93,3179,746,Cas
94,116727,112724,Cep
95,112724,106032,Cep
96,106032,116727,Cep
97,106032,105199,Cep
98,105199,102422,Cep
99,102422,101093,Cep
100,105199,107259,Cep
101,107259,109857,Cep
102,109857,109492,Cep
103,109492,110988,Cep
104,110988,112724,Cep
105,11767,85822,UMi
106,85822,82080,UMi
107,82080,77055,UMi
108,77055,72607,UMi
109,72607,75097,UMi
110,75097,79822,UMi
111,79822,77055,UMi
112,68895,64962,Hya
113,64962,57936,Hya
114,57936,56343,Hya
115,56343,52943,Hya
116,52943,51069,Hya
117,51069,49841,Hya
118,49841,49402,Hya
119,49402,48356,Hya
120,48356,46390,Hya
121,46390,47431,Hya
122,47431,45336,Hya
123,45336,43813,Hya
124,43813,43109,Hya
125,43109,42313,Hya
126,42313,42402,Hya
127,42402,42799,Hya
128,42799,43234,Hya
129,43234,43109,Hya
130,57632,54879,Leo
131,54879,54872,Leo
132,54872,57632,Leo
133,54879,55642,Leo
134,55642,55434,Leo
135,54879,49583,Leo
136,54872,50583,Leo
137,50583,50335,Leo
138,50335,48455,Leo
139,48455,47908,Leo
140,47908,49583,Leo
141,48455,46146,Leo
142,46146,46750,Leo
143,46750,47908,Leo
144,49583,49669,Leo
145,44066,42911,Cnc
146,42911,42806,Cnc
147,42806,43103,Cnc
148,42911,40526,Cnc
149,32362,35350,Gem
150,35350,35550,Gem
151,31681,34088,Gem
152,34088,35550,Gem
153,35550,36962,Gem
154,36962,37740,Gem
155,36962,37826,Gem
156,36962,36046,Gem
157,36046,34693,Gem
158,34693,36850,Gem
159,34693,33018,Gem
160,34693,32246,Gem
161,32246,30883,Gem
162,32246,30343,Gem
163,30343,29655,Gem
164,67301,,UMa
165,67301,62956,UMa
166,62956,59774,UMa
167,59774,58001,UMa
168,58001,57399,UMa
169,57399,55219,UMa
170,55219,,UMa
171,57399,54539,UMa
172,54539,50801,UMa
173,50801,50372,UMa
174,58001,53910,UMa
175,53910,54061,UMa
176,54061,59774,UMa
177,53910,48319,UMa
178,48319,41704,UMa
179,48319,46853,UMa
180,46853,44471,UMa
181,44471,44127,UMa
182,97433,94376,Dra
183,94376,87585,Dra
184,87585,85819,Dra
185,85819,85670,Dra
186,85670,87833,Dra
187,87833,87585,Dra
188,94376,89908,Dra
189,89908,89937,Dra
190,89908,83895,Dra
191,83895,80331,Dra
192,80331,78527,Dra
193,78527,75458,Dra
194,75458,68756,Dra
195,68756,61281,Dra
