,IAU Name ,Designation,HIP,Bayer Name,#,WDS_J,Vmag,RA(J2000),Dec(J2000),Origin,Etymology Note,Source,,ID,Const.
,Absolutno,XO-5,XO-5,_ Lyn,_,_,12.13,116.716506,39.094572,2019 IAU100 NameExoWorlds,Czech Republic proposal;Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel Čapek.,https://www.nameexoworlds.iau.org/2019approved-names,,_,Lyn
,Acamar,HR 897,13847,θ1 Eri,A,02583-4018,2.88,44.565311,-40.304672,,,,,θ1,Eri
,Achernar,HR 472,7588,α Eri,A,-,0.45,24.428523,-57.236753,Arabic,The name was originally Arabic: آخر النهر ʾāẖir an-nahr ('river's end').,,,α,Eri
,Achird,HR 219,3821,η Cas,A,00491+5749,3.46,12.276213,57.815187,,"first applied to η Cassiopeiae in the Skalnate Pleso Atlas of the Heavens published in 1950, but is not known prior to that.",,,η,Cas
,Acrab,HR 5984,78820,β1 Sco,Aa,16054-1948,2.56,241.3593,-19.805453,Arabic,"the traditional name of the β Scorpii system has been rendered Akrab and Elakrab, derived (like Acrab) from Arabic: العقرب al-ʿaqrab ('the scorpion').",,,β1,Sco
,Acrux,HR 4730,60718,α Cru,Aa,12266-6306,1.33,186.649563,-63.099093,"""Americanism""","a modern contraction of the Bayer designation, coined in the 19th century, but which entered into common use only by the mid-20th century (< α Crucis)",,,α,Cru
,Acubens,HR 3572,44066,α Cnc,Aa,08585+1151,4.26,134.62174,11.857687,Arabic,The name was originally Arabic: الزبانى az-zubāná ('the claws').,,,α,Cnc
,Adhafera,HR 4031,50335,ζ Leo,Aa,10167+2325,3.43,154.172567,23.417312,Arabic,"Also called Aldhafera. The name is originally from Arabic: الضفيرة aḍ-ḍafīra ('the braid (or curl, or strand)' [of the lion's mane]).",,,ζ,Leo
,Adhara,HR 2618,33579,ε CMa,A,06586-2858,1.50,104.656453,-28.972086,Arabic,"The name is originally from Arabic: عذارى ʿaḏārá ('virgins'). In the Calendarium of Al Achsasi Al Mouakket, it is designated أول العذاري ʾawwil al-ʿaḏāriyy, translated into Latin as Prima Virginum ('first virgin').",,,ε,CMa
,Adhil,HR 390,6411,ξ And,-,-,4.87,20.58508,45.528778,Arabic,"The name was originally Arabic: الذيل aḏ-ḏayl (the train, lit. 'the tail').",,,ξ,And
,Ain,HR 1409,20889,ε Tau,Aa1,04286+1911,3.53,67.154163,19.180435,Arabic,The name is originally from Arabic: عين ʿayn ('eye') and was reviewed and adopted by the Working Group on Star Names.,,,ε,Tau
,Ainalrami,HR 7116,92761,ν1 Sgr,A,18542-2245,4.86,283.542404,-22.74484,Arabic,From Arabic: عين الرامي ʿayn ar-rāmī ('eye of the archer'),,,ν1,Sgr
,Aladfar,HR 7298,94481,η Lyr,Aa,19138+3909,4.43,288.439531,39.14597,Arabic,"The name is originally from Arabic: الأظفر al-ʾuẓfur ('the talons' [of the swooping eagle]), shared with μ Lyrae (Alathfar).",,,η,Lyr
,Alasia,HD 168746,90004,_ Ser,_,18218-1155,7.95,275.457428,-11.922682,2019 IAU100 NameExoWorlds,"Cypriot proposal; Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BC.",https://www.nameexoworlds.iau.org/2019approved-names,,_,Ser
,Albaldah,HR 7264,94141,π Sgr,A,19098-2101,2.88,287.440971,-21.023615,Arabic,"The name is originally from Arabic: البلدة al-balda ('town'). In the Calendarium of Al Achsasi Al Mouakket, it is designated نير البلدة nayyir al-baldah, translated into Latin as Lucida Oppidi ('brightest of the town')",,,π,Sgr
,Albali,HR 7950,102618,ε Aqr,-,-,3.78,311.918969,-9.495775,Arabic,The name is originally from Arabic: البالع al-bāliʿ ('the swallower').,,,ε,Aqr
,Albireo,HR 7417,95947,β1 Cyg,Aa,19307+2758,3.05,292.680351,27.959692,,The source of the name Albireo is not entirely clear.,,,β1,Cyg
,Alchiba,HR 4623,59199,α Crv,-,-,4.02,182.103402,-24.728875,Arabic,"From Arabic: الخباء al-ẖibāʾ ('tent'). In the Calendarium of Al Achsasi Al Mouakket, it is designated المنخر الغراب al-manẖar al-ġurāb, translated into Latin as Rostrum Corvi ('beak of the crow').",,,α,Crv
,Alcor,HR 5062,65477,80 UMa,Ca,13239+5456,3.99,201.306403,54.987954,Arabic,From Arabic: الخوار al‑ẖawwār ('the faint one').,,,80,UMa
,Alcyone,HR 1165,17702,η Tau,A,03475+2406,2.85,56.871152,24.105136,,Member of the Pleiades open star cluster (M45). Alcyone (Ancient Greek: Ἀλκυόνη Alkuonē) was one of the Pleiades sisters in Greek mythology.,,,η,Tau
,Aldebaran,HR 1457,21421,α Tau,-,04359+1631,0.87,68.980163,16.509302,Arabic,The name was originally Arabic: الدبران ad-dabarān ('the follower' [of the Pleiades]),,,α,Tau
,Alderamin,HR 8162,105199,α Cep,-,21186+6235,2.45,319.644885,62.585574,Arabic,From Arabic: الذراع اليمين aḏ-ḏirāʿ al-yamīn ('the right arm' [of Cepheus]).,,,α,Cep
,Aldhanab,HR 8353,108085,γ Gru,-,-,3.00,328.482192,-37.364855,Arabic,The name was originally الذنب aḏ-ḏanab ('the tail' [of the constellation of the Southern Fish]).,,,γ,Gru
,Aldhibah,HR 6396,83895,ζ Dra,A,17088+6543,3.17,257.19665,65.714684,Arabic,From Arabic: الضباع aḍ-ḍibāʿ ('the hyenas').,,,ζ,Dra
,Aldulfin,HR 7852,101421,ε Del,-,-,4.03,308.303216,11.303261,Arabic,Shortening of Arabic: ذنب الدلفين ḏanab ad-dulfīn ('tail of the dolphin').,,,ε,Del
,Alfirk,HR 8238,106032,β Cep,Aa,21287+7034,3.23,322.164987,70.560715,Arabic,"From Arabic: الفرق al-firq ('the flock'). Name given by Ulugh Beg to the asterism consisting of α, β and η Cephei.",,,β,Cep
,Algedi,HR 7754,100064,α2 Cep,-,20181-1233,3.58,304.513566,-12.544852,Arabic,"From Arabic: الجدي al-jady ('the (male) kid'). Alternative traditional names are Al Giedi, Secunda Giedi and Algiedi Secunda.",,,α2,Cap
