HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
63, ,224801,BD+44  4538 ,33298.0,9080.0,0.1817499999999999,45.25333333333333,6.36,,CG,And,HD 224801,00 00 43.62,+45 15 12.0,6.36,0.1817495,45.25333305,4.81,17.38,0.22,0.71,-0.047,P,0.18180951,45.25333358,207.9002079002079,146.35548118709144,0.46426103550543146,-147.65620214923416
88, ,224834,CD-49 14316 ,33305.0,9081.0,0.2691666666666666,-48.809861111111104,5.71,,tau,Phe,HD 224834,00 01 04.60,-48 48 35.5,5.71,0.26915958,-48.80985919,5.97,-17.92,-6.75,0.7,0.911, ,0.26909344,-48.8098756,167.50418760469012,110.31033266039415,0.5182246096651962,126.0516355178081
122, ,224889,CP-77  1596 ,33321.0,9084.0,0.3993749999999999,-77.06530555555554,4.78,,the,Oct,HD 224889,00 01 35.85,-77 03 55.1,4.78,0.39937928,-77.06529438,14.77,-56.52,-176.95,0.47,1.254, ,0.39876554,-77.06572447,67.70480704129993,15.15469780795052,0.10563614828793058,65.98685378053368
145, ,224926,BD-03  5749 ,33327.0,9087.0,0.4559999999999999,-3.027472222222222,5.13,29.0, ,Psc,HD 224926,00 01 49.44,-03 01 38.9,5.13,0.45598912,-3.02747891,7.98,18.9,-10.25,0.71,-0.128, ,0.45603512,-3.02750382,125.31328320802004,125.13442353187139,0.995928538154604,6.6183927102095925
154, ,224935,BD-06  6345 ,33330.0,9089.0,0.4899583333333333,-6.013972222222222,4.37,30.0, ,Psc,HD 224935,00 01 57.59,-06 00 50.3,4.37,0.48996506,-6.01397169,7.86,46.62,-41.32,0.94,1.631, ,0.490079,-6.01407212,127.22646310432569,126.52163024187925,1.081961685381801,13.329641926356897
171, ,224930,BD+26  4734 ,33334.0,9088.0,0.5402083333333333,27.084499999999995,5.8,85.0, ,Peg,HD 224930,00 02 09.65,+27 05 04.2,5.8,0.54018776,27.08448905,80.63,778.59,-918.72,3.03,0.69, ,0.54231321,27.08225603,12.402331638348011,11.041751654210257,0.10410929153069971,-5.646832008279517
183, ,224990,CD-30 19790 ,33337.0,9091.0,0.5829583333333332,-29.72044444444444,5.04,,zet,Scl,HD 224990,00 02 19.91,-29 43 13.6,5.04,0.58297574,-29.72044805,6.4,9.66,14.0,0.87,-0.15, ,0.58300278,-29.72041402,156.25,135.68901824449722,1.3806212998699359,77.46384132400638
186, ,224995,BD+08  5164 ,33340.0,9092.0,0.6007083333333333,8.956833333333332,6.33,31.0, ,Psc,HD 224995,00 02 24.17,+08 57 24.6,6.33,0.60069792,8.9568336,7.55,-0.87,-4.11,0.82,0.182, ,0.60069578,8.95682361,132.45033112582783,130.8280302103149,1.3716955826347437,-20.621231240131035
194, ,225003,BD+07  5121 ,33341.0,9093.0,0.6239999999999999,8.485583333333333,5.7,32.0,c,Psc,HD 225003,00 02 29.76,+08 29 08.1,5.7,0.62398938,8.48557854,26.53,-93.55,-47.5,0.77,0.315, ,0.62375948,8.48546309,37.69317753486619,37.27834029566746,0.4060090338382706,-5.56202608226522
301, ,225132,BD-18  6417 ,23.0,9098.0,0.934875,-17.33597222222222,4.55,2.0, ,Cet,HD 225132,00 03 44.37,-17 20 09.5,4.55,0.93488487,-17.33597002,14.31,28.57,-7.28,0.92,-0.047, ,0.93495762,-17.33598771,69.88120195667365,66.69789256949167,1.0883825478192795,20.822798494140038
